Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36203303,Money: Vintage Minis,Yuval Noah Harari,"Harari, Yuval Noah",,"=""1784874027""","=""9781784874025""",0,4.00,Vintage Classics,Paperback,144,2018,,,2020/02/12,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.09,Random House,Hardcover,426,2012,2012,,2020/02/12,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
9402297,The Bed of Procrustes: Philosophical and Practical Aphorisms,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400069971""","=""9781400069972""",0,3.76,Random House,Hardcover,128,2010,2010,,2020/02/12,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
38315,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0812975219""","=""9780812975215""",5,4.06,Random House Trade Paperbacks,Paperback,368,2005,2001,2020/02/12,2019/10/13,,,read,"Fooled by randomness is one of the smartest books I've read. The writing style is a bit quirky, and it doesn't exactly read like a novel, but I took more notes from this book than any past one. I can see now that I am fooled by randomness all the time.",true,,1,,,0,,,,,
369708,The Alchemy of Finance,George Soros,"Soros, George",Paul A. Volcker,"=""0471445495""","=""9780471445494""",0,3.73,Wiley,Paperback,416,2015,1987,,2020/02/10,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,3.95,Simon  Schuster,Hardcover,368,2018,2018,,2020/02/10,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
3828902,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana       Wright,"=""1603580557""","=""9781603580557""",0,4.26,Chelsea Green Publishing,Paperback,240,2008,2008,,2020/02/10,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",0,3.92,Random House ,Hardcover,366,2007,2007,,2020/02/10,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
6516450,What the Dog Saw and Other Adventures,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316078573""","=""9780316078573""",0,3.85,"Little, Brown and Company",Hardcover,444,2009,2009,,2020/02/10,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",0,3.94,"Little, Brown and Company",Hardcover,305,2013,2009,,2020/02/10,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
43848929,Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",0,4.04,"Little, Brown and Company",Hardcover,388,2019,2019,,2020/02/10,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
