Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29889285,Campaign Finance: What Everyone Needs to Know,Robert E Mutch,"Mutch, Robert E",,0190274689,9780190274689,0,4.08,"Oxford University Press, USA",Paperback,240,2016,,,3/26/2020,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
31670227,A Whirlwind Tour of Python,Jake Vanderplas,"Vanderplas, Jake",,,9781491964651,0,4.24,O'Reilly,ebook,98,2016,,,3/20/2020,currently-reading,currently-reading (#12),currently-reading,,,,1,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,,,5,4.26,Harper,Kindle Edition,450,2017,2017,3/12/2020,4/3/2019,,,read,,,,1,,,0,,,,,
5040588,"The Magykal Papers (Septimus Heap, #7.5)",Angie Sage,"Sage, Angie",Mark Zug,0061704164,9780061704161,0,3.96,Katherine Tegen Books,Hardcover,167,2009,2009,12/25/2009,2/26/2020,,,read,,,,1,,,0,,,,,
7772,Dr. Seuss's Sleep Book,Dr. Seuss,"Seuss, Dr.",,0394800915,9780394800912,0,4.17, New York: Random House,Hardcover,58,2012,1962,,2/21/2020,,,read,,,,1,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,0375831002,9780375831003,4,4.37,Alfred A. Knopf,Hardcover,552,2006,2005,1/1/2012,8/31/2018,,,read,,,,1,,,0,,,,,
1617,Night  (The Night Trilogy #1),Elie Wiesel,"Wiesel, Elie","Marion Wiesel, Fran̤ois Mauriac",,,0,4.33,Hill & Wang,Paperback,115,2006,1956,,2/20/2020,,,read,,,,1,,,0,,,,,
480714,"Night of the Eye (Dragonlance: Defenders of Magic, #1)",Mary L. Kirchoff,"Kirchoff, Mary L.",,1560768401,9781560768401,0,3.78,Wizards of the Coast,Paperback,314,2005,1994,,2/20/2020,,,read,,,,1,,,0,,,,,
500555,"Quest for the Queen (The Secrets of Droon, #10)",Tony Abbott,"Abbott, Tony","David Merrell, Tim Jessell",0439207843,9780439207843,5,3.93,Scholastic Paperbacks,Paperback,112,2000,2000,1/1/2008,2/19/2020,,,read,,,,1,,,0,,,,,
176326,The Problem Child,Michael Buckley,"Buckley, Michael",Peter Ferguson,0810949148,9780810949140,4,4.28,Harry N. Abrams,Hardcover,320,2006,2006,1/1/2010,8/30/2018,,,read,,,,1,,,0,,,,,
